Index,Red,Green,Blue,NIR,SWIR_1,SWIR_2
3009,0.10373461,0.09633077,0.094096154,0.045688458,0.0048461487,0.0016961485
3010,0.10357308,0.09358461,0.09161923,0.04622692,0.0038769178,0.0017499947
3011,0.10376154,0.09382692,0.09253462,0.044611536,0.0036884563,0.0018038409
3012,0.10319615,0.09336923,0.091592304,0.046469226,0.0040923026,0.0020730717
3013,0.10279231,0.09153846,0.08903461,0.04840769,0.004980764,0.00223461
3014,0.1008,0.090488456,0.083623074,0.10588846,0.030503841,0.013407688
3015,0.08585769,0.075761534,0.044853844,0.36744615,0.13703845,0.054842304
3016,0.082949996,0.07029615,0.038203843,0.37059617,0.1383577,0.055273075
3017,0.083273076,0.07131923,0.039684612,0.3224846,0.12470769,0.05303846
3018,0.08389231,0.0721,0.039549995,0.36184615,0.14250384,0.057669226
3019,0.08340769,0.07024231,0.038473073,0.37606156,0.14105,0.056242306
3020,0.083299994,0.06959615,0.037692305,0.38365385,0.14333846,0.05723846
3021,0.08335385,0.068976924,0.037826918,0.38424617,0.14522308,0.05680769
3022,0.08313846,0.068223074,0.03785384,0.38949618,0.147,0.057965383
3023,0.082949996,0.06765769,0.037180766,0.38648078,0.14592308,0.05777692
3024,0.081953846,0.06781923,0.03696538,0.38535002,0.14869615,0.058638457
3025,0.08243846,0.068330765,0.036911536,0.4079923,0.15443078,0.060630765
3026,0.08200769,0.06763077,0.035942305,0.39935002,0.15168461,0.05909615
3027,0.08181923,0.068223074,0.036238458,0.4077231,0.15222308,0.059580766
3028,0.08192692,0.06838461,0.03666923,0.39471924,0.14772692,0.057669226
3029,0.08249231,0.06983846,0.037288457,0.4076154,0.14455,0.057911534
3030,0.08268077,0.06911153,0.03739615,0.39824617,0.14266539,0.057265382
3031,0.08305769,0.06870769,0.03731538,0.3882577,0.14215384,0.056242306
3032,0.08276153,0.06811538,0.03693846,0.3858077,0.1419923,0.05626923
3033,0.082842305,0.06975769,0.037449997,0.38755772,0.14331155,0.05691538
3034,0.083623074,0.07158846,0.03855384,0.39447692,0.14702693,0.058423072
3035,0.08356923,0.07306923,0.039199997,0.39730385,0.14896539,0.059715383
3036,0.08445769,0.07568077,0.04070769,0.41351154,0.15747307,0.06294615
3037,0.08435,0.078588456,0.04108461,0.4423731,0.16902308,0.06781923
3038,0.084053844,0.07866923,0.04070769,0.44907692,0.1685923,0.067011535
3039,0.08475384,0.079369225,0.041838456,0.44229233,0.16756923,0.06641923
3040,0.08486154,0.07985384,0.042673074,0.4232577,0.16840385,0.067549996
3041,0.084376924,0.07729615,0.042780764,0.36219615,0.15173846,0.06316154
3042,0.08365,0.074119225,0.043669228,0.28813076,0.13545,0.057749998
3043,0.08383846,0.0695423,0.04315769,0.24139231,0.117115386,0.05233846
3044,0.08402692,0.07118461,0.04248461,0.28131923,0.12363077,0.054923072
3045,0.08451153,0.07438846,0.041919228,0.3473077,0.14401154,0.059553843
3046,0.085453846,0.078049995,0.043076918,0.39935002,0.1624,0.06585384
3047,0.085480765,0.07831923,0.04369615,0.3913808,0.16143078,0.06693076
